algorithm,time,convergence,distortion,arithmetic intensity,n,d,k
sequential,2.0180130004882812,7,0,0,10000,3,3
stock,0.04471588134765625,7,2242.9198879388559,0,10000,3,3
pyCUDA,0.04179883003234863,7,0,0,10000,3,3
mpi4py,2.2285821437835693,7,0,0,10000,3,3
hybrid,0.6860098838806152,7,0,0,10000,3,3
sequential,2.3828811645507812,7,0,0,10000,3,4
stock,0.04459095001220703,7,1290.6751302153775,0,10000,3,4
pyCUDA,0.027862071990966797,7,0,0,10000,3,4
mpi4py,2.275407075881958,7,0,0,10000,3,4
hybrid,0.5146298408508301,7,0,0,10000,3,4
sequential,2.681629180908203,7,0,0,10000,3,5
stock,0.06158113479614258,7,698.41969745559106,0,10000,3,5
pyCUDA,0.025584936141967773,7,0,0,10000,3,5
mpi4py,2.322525978088379,7,0,0,10000,3,5
hybrid,0.5805749893188477,7,0,0,10000,3,5
sequential,3.0332841873168945,7,0,0,10000,6,3
stock,0.07032203674316406,7,8408.3756783912504,0,10000,6,3
pyCUDA,0.028373003005981445,7,0,0,10000,6,3
mpi4py,2.351269006729126,7,0,0,10000,6,3
hybrid,0.4896659851074219,7,0,0,10000,6,3
sequential,3.6353819370269775,7,0,0,10000,6,4
stock,0.11928701400756836,7,7563.03304857684,0,10000,6,4
pyCUDA,0.028143882751464844,7,0,0,10000,6,4
mpi4py,2.259485960006714,7,0,0,10000,6,4
hybrid,0.5113940238952637,7,0,0,10000,6,4
sequential,4.120794057846069,7,0,0,10000,6,5
stock,0.10907411575317383,7,6853.464786242037,0,10000,6,5
pyCUDA,0.027985095977783203,7,0,0,10000,6,5
mpi4py,2.2969160079956055,7,0,0,10000,6,5
hybrid,0.5109310150146484,7,0,0,10000,6,5
sequential,4.049263954162598,7,0,0,20000,3,3
stock,0.06777501106262207,7,4330.7703059561809,0,20000,3,3
pyCUDA,0.06624221801757812,7,0,0,20000,3,3
mpi4py,4.035224914550781,7,0,0,20000,3,3
hybrid,0.547631025314331,7,0,0,20000,3,3
sequential,4.798994064331055,7,0,0,20000,3,4
stock,0.08763408660888672,7,2797.5512561440814,0,20000,3,4
pyCUDA,0.057930946350097656,7,0,0,20000,3,4
mpi4py,4.012452125549316,7,0,0,20000,3,4
hybrid,0.5336320400238037,7,0,0,20000,3,4
sequential,5.481065988540649,7,0,0,20000,3,5
stock,0.10354804992675781,7,1484.9826062584987,0,20000,3,5
pyCUDA,0.062315940856933594,7,0,0,20000,3,5
mpi4py,4.0764319896698,7,0,0,20000,3,5
