reviewerid,reviewno_reviewers,analoral_ct,cuddling_ct,cunninlingus_ct,ejaculationonbody_ct,fellatio_ct,intercourseanal_ct,intercoursevaginal_ct,kissing_ct,manualanalstimulation_ct,manualpenilestimulation_ct,manualvaginalstimulation_ct,massage_ct,sm_ct,testiclestimulation_ct,threesome_ct,analoral_ct_bin,cuddling_ct_bin,cunninlingus_ct_bin,ejaculationonbody_ct_bin,fellatio_ct_bin,intercourseanal_ct_bin,intercoursevaginal_ct_bin,kissing_ct_bin,manualanalstimulation_ct_bin,manualpenilestimulation_ct_bin,manualvaginalstimulation_ct_bin,massage_ct_bin,sm_ct_bin,testiclestimulation_ct_bin,threesome_ct_bin,avgspph_p50,avgspph_sd,avgspph_avg,app_reviewer_p50,app_reviewer_sd,app_reviewer_avg,perf_reviewer_p50,perf_reviewer_sd,perf_reviewer_avg,cscore_reviewer_p50,cscore_reviewer_sd,cscore_reviewer_avg,rvwdate_last_reviewer,rvwyear_last_reviewer,rvwdate_first_reviewer,rvwyear_first_reviewer,rptescorts_reviewers,rvwduration_years_reviewer,rvwduration_days_reviewer,appgap_reviewer_p50,age_cont2_p50,height_cont2_p50,breastsize_cont2_p50,breastcup_cont_p50,hairlength_cont_p50,kiss_bin_p50,kiss_tongue_bin_p50,blowjob_bin_p50,blowjob_condom_bin_p50,cuminmouth_bin_p50,touchpussy_bin_p50,lickpussy_bin_p50,sex_bin_p50,multiplepops_bin_p50,anal_bin_p50,rimming_bin_p50,sm_bin_p50,twogirlaction_bin_p50,bringsecondprovider_bin_p50,multipleguys_bin_p50,avgpph_p50,reviewno_escort_sd,appgap_reviewer_sd,age_cont2_sd,height_cont2_sd,breastsize_cont2_sd,breastcup_cont_sd,hairlength_cont_sd,kiss_bin_sd,kiss_tongue_bin_sd,blowjob_bin_sd,blowjob_condom_bin_sd,cuminmouth_bin_sd,touchpussy_bin_sd,lickpussy_bin_sd,sex_bin_sd,multiplepops_bin_sd,anal_bin_sd,rimming_bin_sd,sm_bin_sd,twogirlaction_bin_sd,bringsecondprovider_bin_sd,multipleguys_bin_sd,avgpph_sd,reviewno_escort_avg,appgap_reviewer_avg,age_cont2_avg,height_cont2_avg,breastsize_cont2_avg,breastcup_cont_avg,hairlength_cont_avg,kiss_bin_avg,kiss_tongue_bin_avg,blowjob_bin_avg,blowjob_condom_bin_avg,cuminmouth_bin_avg,touchpussy_bin_avg,lickpussy_bin_avg,sex_bin_avg,multiplepops_bin_avg,anal_bin_avg,rimming_bin_avg,sm_bin_avg,twogirlaction_bin_avg,bringsecondprovider_bin_avg,multipleguys_bin_avg,ontime_bin_avg,smokes_bin_avg,breastimplants_bin_avg,pubichair_cont_avg,transsexual_bin_avg,servicearea_bin_escort_avg,servicearea_bin_massage_avg,servicearea_bin_sm_avg,servicearea_bin_multiple_avg,pornstar_bin_avg,avgpph_avg,unqescorts_reviewers,ethnicity_n,ethnicity_mode,build_n,build_mode,breastappearance_n,breastappearance_mode,haircolor_n,haircolor_mode,hairtype_n,hairtype_mode,service_n,service_mode,reviewno_escort_max,reviewno_escort_min
16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,9,,9,9,,9,9,,9,01jun2005,2005,01jun2005,2005,0,0,0,0,26,66,38,4,4,1,1,1,1,0,1,,1,,,,,1,,,300,,,,,,,,,,,,,,,,,,,,,,,,7,0,26,66,38,4,4,1,1,1,1,0,1,,1,,,,,1,,,1,0,0,0,0,1,1,0,1,0,300,1,1,White,1,Baby fat,1,Perky,1,Blonde,1,Some curls,1,Escort/Massage,7,7
71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,,200,7,,7,9,,9,8,,8,01aug2010,2010,01aug2010,2010,0,0,0,-2,41,66,44,6,4,1,1,1,1,0,1,1,1,1,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,1,-2,41,66,44,6,4,1,1,1,1,0,1,1,1,1,,,,,,,1,0,0,2,0,1,0,1,1,,200,1,1,White,1,Heavy,1,Super nice,1,Blonde,1,Straight,1,Escort/Massage/S&M,1,1
122,1,0,1,1,0,0,0,6,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01jul2009,2009,01jul2009,2009,0,0,0,-1,21,63,32,2,6,1,1,1,1,0,1,1,1,1,,0,0,,,0,300,,,,,,,,,,,,,,,,,,,,,,,,46,-1,21,63,32,2,6,1,1,1,1,0,1,1,1,1,,0,0,,,0,1,0,0,,0,1,1,0,1,0,300,1,1,Asian,1,Athletic,1,Youthful,1,Black,1,Straight,1,Escort/Massage,46,46
158,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01dec2003,2003,01dec2003,2003,0,0,0,-1,36,66,36,4,4,1,1,1,0,0,1,1,1,,,,1,1,,,250,,,,,,,,,,,,,,,,,,,,,,,,3,-1,36,66,36,4,4,1,1,1,0,0,1,1,1,,,,1,1,,,1,1,0,,0,1,0,1,1,0,250,1,1,White,1,Athletic,1,Average,1,Blonde,1,Some curls,1,Escort/Massage/S&M,3,3
159,1,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,400,,400,9,,9,9,,9,9,,9,01feb2004,2004,01feb2004,2004,0,0,0,0,26,69,36,3,6,1,1,1,0,0,1,1,1,,1,,1,1,1,,400,,,,,,,,,,,,,,,,,,,,,,,,78,0,26,69,36,3,6,1,1,1,0,0,1,1,1,,1,,1,1,1,,1,1,0,0,0,1,0,1,1,0,400,1,1,White,1,Thin,1,Youthful,1,Red,1,Straight,1,Escort/Massage/S&M,78,78
193,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,,150,8,,8,9,,9,8.5,,8.5,01aug2004,2004,01aug2004,2004,0,0,0,-1,26,63,30,3,4,1,0,1,1,,1,1,1,,,,0,,,,150,,,,,,,,,,,,,,,,,,,,,,,,23,-1,26,63,30,3,4,1,0,1,1,,1,1,1,,,,0,,,,1,0,0,2,0,1,1,0,1,0,150,1,1,Italian,1,Average,1,Average,1,Brown,1,Some curls,1,Escort/Massage,23,23
231,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,220,,220,7,,7,9,,9,8,,8,01jul2002,2002,01jul2002,2002,0,0,0,-2,31,63,34,2,2,1,1,1,0,0,1,1,1,0,,,0,,,,220,,,,,,,,,,,,,,,,,,,,,,,,80,-2,31,63,34,2,2,1,1,1,0,0,1,1,1,0,,,0,,,,1,1,0,2,0,1,1,0,1,0,220,1,1,Asian,1,Flabby,1,Droopy,1,Black,1,Straight,1,Escort/Massage,80,80
239,1,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01dec2004,2004,01dec2004,2004,0,0,0,-1,31,63,36,4,5,1,1,1,0,1,1,1,1,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,33,-1,31,63,36,4,5,1,1,1,0,1,1,1,1,,,,,,,,1,1,0,0,0,1,0,0,0,0,300,1,1,White,1,Average,1,Average,1,Bleached,1,Some curls,1,Escort,33,33
253,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,270,,270,7,,7,9,,9,8,,8,01dec2006,2006,01dec2006,2006,0,0,0,-2,26,63,34,3,4,1,1,1,0,0,1,1,1,1,1,,0,1,1,1,270,,,,,,,,,,,,,,,,,,,,,,,,153,-2,26,63,34,3,4,1,1,1,0,0,1,1,1,1,1,,0,1,1,1,1,0,1,0,0,1,1,0,1,0,270,1,1,White,1,Athletic,1,Super nice,1,Blonde,1,Some curls,1,Escort/Massage,153,153
303,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,170,,170,8,,8,9,,9,8.5,,8.5,01jan2002,2002,01jan2002,2002,0,0,0,-1,31,66,36,3,7,,,0,0,0,1,1,0,0,0,,1,1,1,0,170,,,,,,,,,,,,,,,,,,,,,,,,29,-1,31,66,36,3,7,,,0,0,0,1,1,0,0,0,,1,1,1,0,1,1,0,,0,0,1,1,1,0,170,1,1,Baltic,1,Average,1,Perky,1,Blonde,1,Curly,1,Massage/S&M,29,29
